id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
wrapped-tokens,Wrapped-Tokens,4551977638.798452,-0.8755997346248392,"Wrapped tokens offer a way to circumvent the lack of interoperability between different blockchains. The wrapping of a token happens when the original asset is put into a “wrapper” and deployed on a different blockchain. With it being wrapped, the cryptocurrency can now be used on a blockchain where it previously wasn’t available. One example of a wrapped token would be Wrapped Bitcoin (WBTC). It is an ERC-20 version of Bitcoin, which allows it to be used on protocols based on Ethereum. Watch this video to learn more about Wrapped tokens.","['https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594', 'https://assets.coingecko.com/coins/images/11370/small/Bitcoin.jpg?1628072791']",1705295744.2227013,2023-04-19T17:45:05.498Z
liquid-staking-governance-tokens,Liquid Staking Governance Tokens,4238735694.362031,-7.050813720316156,,"['https://assets.coingecko.com/coins/images/13573/small/Lido_DAO.png?1609873644', 'https://assets.coingecko.com/coins/images/2090/small/rocket_pool_%28RPL%29.png?1637662441', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947']",221047989.3833875,2023-04-19T17:45:29.410Z
finance-banking,Finance / Banking,3893132673.838528,-5.062869777706895,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/10643/small/ceth2.JPG?1581389598', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871']",247345804.16348165,2023-04-19T17:45:06.385Z
internet-of-things-iot,Internet of Things (IOT),3495546943.426937,-5.022107027613489,"The Internet of Things (IoT) ecosystem consists of interconnected computing devices, with the ability to transfer data over a network without the need for any human interaction. Cryptocurrencies in the IoT ecosystem are designed to facilitate the exchange of data and payment information with other IoT devices.","['https://assets.coingecko.com/coins/images/1167/small/VET_Token_Icon.png?1680067517', 'https://assets.coingecko.com/coins/images/692/small/IOTA_Swirl.png?1604238557', 'https://assets.coingecko.com/coins/images/13876/small/JASMY200x200.jpg?1612473259']",230010227.38229385,2023-04-19T17:45:06.958Z
decentralized-derivatives,Derivatives,3399291660.3831663,-1.4535585415457126,"Derivatives are contracts whose values are derived from other underlying assets such as stocks, commodities, currencies, indexes, bonds, or interest rates. Each type of derivative, whether futures, options or swaps serves a different purpose, and each investor buys or sells them for various reasons. Some of the reasons investors trade derivatives are to hedge themself against the volatility of the underlying asset, speculate on the directional movement of the underlying asset, or leverage their holdings. Derivatives are extremely risky, and one must be equipped with strong financial knowledge and strategies when trading them.
","['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360']",551198398.2397095,2023-04-19T17:45:02.989Z
lending-borrowing,Lending/Borrowing,3397373054.2951365,-7.313564257573685,"Lending/borrowing protocols allow users to offer crypto loans by staking their assets in them without the need for a bank account. In return for lending their assets, users are given rewards, usually in the form of the protocol’s native token. These products can be split between centralized and decentralized services. Centralized protocols require customers to undergo a Know-Your-Customer (KYC) process, while decentralized ones merely require users to have a compatible web3 wallet.","['https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871']",277358371.0677387,2023-04-19T17:45:04.962Z
asset-backed-tokens,Asset-backed Tokens,3360087649.4721794,-4.229531034144442,,"['https://assets.coingecko.com/coins/images/9519/small/paxg.PNG?1568542565', 'https://assets.coingecko.com/coins/images/10643/small/ceth2.JPG?1581389598', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656']",115208976.4355758,2023-04-19T17:45:22.740Z
artificial-intelligence,Artificial Intelligence (AI),3020440897.5357747,0.3981781661897098,"Artificial Intelligence (AI) tokens are cryptocurrencies that power AI-related projects, such as AI-powered portfolio management, image generation, path finding, and more. ","['https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934', 'https://assets.coingecko.com/coins/images/2138/small/singularitynet.png?1548609559', 'https://assets.coingecko.com/coins/images/5681/small/Fetch.jpg?1572098136']",422854568.9055306,2023-04-19T17:45:30.515Z
sports,Sports,2099977375.7260184,-2.3082472894437345,"These projects have introduced a new way for sports teams to engage with their fans and has made it easier for ordinary sports fans to show their support to their favorite teams and players. 
With Fan Tokens, fans have the power to influence their favourite sports teams in minor decisions and enter an exclusive club of like-minded supporters and VIP benefits. Sports NFTs have also allowed fans to access a smoother and more permanent form of collectible.
","['https://assets.coingecko.com/coins/images/13446/small/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776', 'https://assets.coingecko.com/coins/images/8834/small/CHZ_Token_updated.png?1675848257', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000']",333601046.7810463,2023-04-19T17:45:23.474Z
seigniorage,Seigniorage,1955537213.2604268,-3.0678349436057815,,"['https://assets.coingecko.com/coins/images/13422/small/FRAX_icon.png?1679886922', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/12681/small/UST.png?1653548090']",59661109.79845794,2023-04-19T17:45:01.245Z
decentralized-perpetuals,Perpetuals,1945612004.1756814,-4.785607471819522,,"['https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/13703/small/gfarm_v2.png?1611035398']",303713250.6415642,2023-04-19T17:45:03.689Z
analytics,Analytics,1610615454.5856826,-7.484408812104788,"These projects provide advanced insights and charting tools to track historical token prices, real-time trades and volume. Other more advanced features include impermanent loss calculation and data querying. Some of these projects may require you to hold a certain number of tokens to access the full version of their product suite.","['https://assets.coingecko.com/coins/images/13397/small/Graph_Token.png?1608145566', 'https://assets.coingecko.com/coins/images/14168/small/covalent-cqt.png?1624545218', 'https://assets.coingecko.com/coins/images/11603/small/dext.png?1605790188']",132275910.99031724,2023-04-19T17:45:19.877Z
masternodes,Masternodes,1527139702.7701523,-5.514907332088533,"Masternodes are needed to verify new blocks in certain cryptocurrencies. However, unlike other nodes, they do not add new blocks to the network. In order to maintain a masternode, one would need to hold a certain amount of the protocol’s cryptocurrency, and it’s usually a significant amount. In return for operating a masternode, the operator is rewarded with the native currency.","['https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/5111/small/Beldex.png?1559189036', 'https://assets.coingecko.com/coins/images/5163/small/Flux_symbol_blue-white.png?1617192144']",128742658.85091951,2023-04-19T17:45:21.511Z
olympus-pro,Olympus Pro,1366638677.5268993,-6.022694938984518,"Olympus Pro aims to help protocols acquire their own liquidity, and to also lock the liquidity within the protocol. Instead of staking liquidity provider (LP) tokens in exchange for governance tokens, users will now be able to use their LP tokens to purchase the governance tokens at a discount. The protocol will not sell these LP tokens, and this means the liquidity is locked. This is known as a process called bonding.","['https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/18024/small/synapse_social_icon.png?1663921797', 'https://assets.coingecko.com/coins/images/15861/small/abracadabra-3.png?1622544862']",160322473.7649569,2023-04-19T17:45:09.502Z
synthetic-assets,Synthetic Issuer,1206835375.673669,3.9235138804907246,,"['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916', 'https://assets.coingecko.com/coins/images/8713/small/STP.png?1560262664']",167352932.81211278,2023-04-19T17:45:08.007Z
yield-aggregator,Yield Aggregator,1179774834.267647,-5.615977737019259,"Yield aggregators are protocols that collate multiple yield farms in a single place in order to ease the process of farming. With many new farms popping up on the market, it can be tedious for one to hop from farm to farm. However, with yield aggregators, that isn’t necessary as it’s done automatically in order to maximize the yield generated for users.","['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/11849/small/yearn-finance-yfi.png?1676174746', 'https://assets.coingecko.com/coins/images/12738/small/AlphaToken_256x256.png?1617160876']",130887759.9667261,2023-04-19T17:45:06.113Z
tokenized-gold,Tokenized Gold,1013576013.0786695,-0.21229792470784348,,"['https://assets.coingecko.com/coins/images/9519/small/paxg.PNG?1568542565', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/10730/small/pmgt_logo_256x256.png?1582668331']",25852583.419008665,2023-04-19T17:45:27.052Z
wallets,Wallets,912551484.9461293,-4.189641518465866,,"['https://assets.coingecko.com/coins/images/11085/small/Trust.png?1588062702', 'https://assets.coingecko.com/coins/images/13905/small/sfp.png?1660381192', 'https://assets.coingecko.com/coins/images/17117/small/logo.png?1626412904']",61817391.08806509,2023-04-19T17:45:28.252Z
insurance,Insurance,655669610.5665756,-5.857241738192091,,"['https://assets.coingecko.com/coins/images/11810/small/NXMmain.png?1674799570', 'https://assets.coingecko.com/coins/images/10354/small/logo-grey-circle.png?1614910406', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594']",10285992.466064451,2023-04-19T17:45:01.516Z
yearn-yfi-partnerships-mergers,Yearn Ecosystem,621752051.8896651,-4.473390688759005,"The Yearn Ecosystem is a suite of Decentralized Finance (DeFi) products under the yearn umbrella. These projects range from lending and borrowing protocols such as CREAM, to automated market makers (AMM) like Sushi. 

Any changes that are to be implemented in the Yearn Ecosystem are decided by the DAO, consisting of holders of the Yearn Finance (YFI) token. 
","['https://assets.coingecko.com/coins/images/11849/small/yearn-finance-yfi.png?1676174746', 'https://assets.coingecko.com/coins/images/12271/small/512x512_Logo_no_chop.png?1606986688', 'https://assets.coingecko.com/coins/images/13725/small/xsushi.png?1612538526']",119600169.99439129,2023-04-19T17:45:00.868Z
metagovernance,Metagovernance,570866114.240616,-4.925148037133846,Metagovernance refers to projects or protocols that primarily hold DAO tokens and actively participates in the governance process of those DAOs.,"['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/25942/small/logo.png?1654784187', 'https://assets.coingecko.com/coins/images/26745/small/redacted_v2.jpg?1660011507']",7142410.725576966,2023-04-19T17:45:27.328Z
nft-marketplace,NFT Marketplace,542763870.1614008,-1.8385687902093588,,"['https://assets.coingecko.com/coins/images/28453/small/blur.png?1670745921', 'https://assets.coingecko.com/coins/images/22173/small/circle-black-256.png?1641173160', 'https://assets.coingecko.com/coins/images/14040/small/SuperVerse_Logo_200x200.png?1669963064']",231334738.05660176,2023-04-19T17:45:03.386Z
mev-protection,MEV Protection,504030983.8853073,-5.003979902829428,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/15985/small/ATA.jpg?1622535745', 'https://assets.coingecko.com/coins/images/6769/small/Screenshot_33.png?1581942253']",13642245.608523654,2023-04-19T17:45:08.926Z
rebase-tokens,Rebase Tokens,462786576.3810551,-0.4297813516581707,"Rebase tokens are cryptocurrencies that are usually pegged to a certain value, and they control their prices by algorithmically adjusting their token’s circulating supply.  ","['https://assets.coingecko.com/coins/images/14483/small/token_OHM_%281%29.png?1628311611', 'https://assets.coingecko.com/coins/images/20040/small/LPK15ZOW_400x400.jpg?1636425070', 'https://assets.coingecko.com/coins/images/19947/small/sb.png?1636337110']",2231595.6909812237,2023-04-19T17:45:17.842Z
prediction-markets,Prediction Markets,441523813.3644131,-5.398461475425247,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/309/small/REP.png?1596339859', 'https://assets.coingecko.com/coins/images/13779/small/sx.png?1636034699']",9302458.78054232,2023-04-19T17:45:05.226Z
decentralized-options,Options,424681420.5369789,-4.4378798591357445,,"['https://assets.coingecko.com/coins/images/15823/small/RBN_64x64.png?1633529723', 'https://assets.coingecko.com/coins/images/7805/small/Hxro_Profile_Transparent.png?1622443308', 'https://assets.coingecko.com/coins/images/16652/small/DPX_%281%29.png?1624598630']",3449344.4223239673,2023-04-19T17:45:17.370Z
music,Music,407178242.33004934,-9.56105773660387,"Cryptocurrency projects that are related to music is aimed at disrupting the record publishing industry. The goal is to simplify the process of tracking, collecting, and distributing song royalties to musicians in a decentralized manner. Fans are also able to directly support their favorite artists directly without going through an intermediary.","['https://assets.coingecko.com/coins/images/12913/small/AudiusCoinLogo_2x.png?1603425727', 'https://assets.coingecko.com/coins/images/16548/small/opulous.PNG?1624418744', 'https://assets.coingecko.com/coins/images/983/small/Viberate.png?1547034873']",36769610.142637774,2023-04-19T17:45:06.671Z
move-to-earn,Move To Earn,374701547.6005145,-1.5804724223231068,,"['https://assets.coingecko.com/coins/images/23597/small/gmt.png?1644658792', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000', 'https://assets.coingecko.com/coins/images/25015/small/801485424e1f49bc8d0facff9287eb9b_photo.png?1649827972']",85243065.81752242,2023-04-19T17:45:26.763Z
fan-token,Fan Token,370428837.84826005,-0.49979616267314936,"Fan tokens let sporting organizations and other celebrities engage with their communities, where holders can access exclusive benefits.","['https://assets.coingecko.com/coins/images/11663/small/og.jpg?1592838119', 'https://assets.coingecko.com/coins/images/11693/small/Barca-10.png?1604736023', 'https://assets.coingecko.com/coins/images/15799/small/mJgwTHzCVVCJlqo1tF0NWP57igOYSXr5k1Vqvomd.png?1621929124']",283280641.93413275,2023-04-19T17:45:08.317Z
guild-scholarship,Guild and Scholarship,216322279.66843906,-6.57073130420856,Guilds are decentralized autonomous organizations (DAOs) that invests in NFTs like game assets and rent them out to players. Players who receive rented game items are known as scholars and can be said to receive a scholarship. Guilds are an important component in the play to earn (p2e) ecosystem as these games require an upfront investment capital for players to participate in. Axie Infinity brought the popular model of play to earn and guilds which is not mainstay in the entire blockchain industry.,"['https://assets.coingecko.com/coins/images/19304/small/Db4XqML.png?1634972154', 'https://assets.coingecko.com/coins/images/17358/small/le1nzlO6_400x400.jpg?1632465691', 'https://assets.coingecko.com/coins/images/20933/small/guildfi-logo-200.png?1638003537']",19167937.502415616,2023-04-19T17:45:23.767Z
gambling,Gambling,190741800.12609524,-4.001524297744955,,"['https://assets.coingecko.com/coins/images/761/small/FUN.png?1678773913', 'https://assets.coingecko.com/coins/images/24552/small/unziL6wO_400x400.jpg?1648134494', 'https://assets.coingecko.com/coins/images/21173/small/Decentral_Games_Logo-1.png?1638441275']",3346487.21559477,2023-04-19T17:45:07.294Z
